Date,Description,Amount
01/12/2026,Rent Payment,-1650.00
01/13/2026,Electric Co.,-92.14
01/14/2026,Comcast,-84.99
01/15/2026,Starbucks #4821,-8.45
01/16/2026,Walmart,-74.22
01/18/2026,Uber,-17.36
01/19/2026,Amazon,-56.90
01/21/2026,Shell Gas,-42.18
01/23/2026,Trader Joe's,-68.31
01/25/2026,DoorDash,-24.77
01/28/2026,CVS Pharmacy,-19.52
01/30/2026,Netflix,-15.00
02/01/2026,Rent Payment,-1650.00
02/03/2026,Electric Co.,-88.73
02/05/2026,Spotify,-10.00
02/06/2026,Target,-63.49
02/08/2026,Uber,-22.14
02/10/2026,Whole Foods,-71.82
02/11/2026,Chipotle,-13.86
02/13/2026,Chevron,-47.33
02/15/2026,Amazon,-128.44
02/17/2026,Venmo Transfer,-48.00
02/20/2026,AMC Theatres,-26.50
02/23/2026,McDonald's,-11.72
02/26/2026,Apple,-6.99
02/28/2026,Planet Fitness,-19.99
03/01/2026,Rent Payment,-1650.00
03/02/2026,Electric Co.,-95.26
03/04/2026,Comcast,-84.99
03/06/2026,Walmart,-109.88
03/08/2026,Lyft,-16.43
03/10/2026,Airbnb,-214.00
03/12/2026,United Airlines,-312.40
03/14/2026,Starbucks,-6.85
03/17/2026,Best Buy,-189.99
03/20/2026,Etsy,-34.17
03/23/2026,Doctor Visit,-45.00
03/26/2026,DoorDash,-31.04
03/29/2026,Zelle Payment,-92.00
04/01/2026,Rent Payment,-1650.00
04/02/2026,Electric Co.,-90.11
04/04/2026,Shell Gas,-38.07
04/05/2026,Trader Joe's,-59.63
04/06/2026,Uber,-14.95
04/07/2026,Amazon,-42.55
04/08/2026,Starbucks #9174,-7.25
